INFO:root:Number of parameters: 369498
INFO:root:061: Acc-tr:  65.18, Acc-val:  14.27, L-tr: 0.9548, L-val: 4.2723
INFO:root:062: Acc-tr:  67.61, Acc-val:  13.81, L-tr: 0.8941, L-val: 4.3164
INFO:root:063: Acc-tr:  59.14, Acc-val:  13.59, L-tr: 1.1512, L-val: 4.3477
INFO:root:064: Acc-tr:  67.33, Acc-val:  14.40, L-tr: 0.9098, L-val: 4.3711
INFO:root:065: Acc-tr:  69.28, Acc-val:  14.06, L-tr: 0.8659, L-val: 4.4351
INFO:root:066: Acc-tr:  54.95, Acc-val:  12.37, L-tr: 1.3713, L-val: 5.0171
INFO:root:067: Acc-tr:  70.30, Acc-val:  14.62, L-tr: 0.8480, L-val: 4.6918
INFO:root:068: Acc-tr:  64.27, Acc-val:  12.91, L-tr: 0.9960, L-val: 4.6297
INFO:root:069: Acc-tr:  59.82, Acc-val:  13.49, L-tr: 1.1079, L-val: 4.6395
INFO:root:070: Acc-tr:  62.08, Acc-val:  13.36, L-tr: 1.1155, L-val: 5.0441
INFO:root:071: Acc-tr:  66.00, Acc-val:  15.00, L-tr: 0.9465, L-val: 4.6981
INFO:root:072: Acc-tr:  74.32, Acc-val:  14.14, L-tr: 0.7213, L-val: 4.3749
INFO:root:073: Acc-tr:  72.03, Acc-val:  14.56, L-tr: 0.7828, L-val: 4.4891
INFO:root:074: Acc-tr:  65.14, Acc-val:  14.66, L-tr: 1.0030, L-val: 4.9476
INFO:root:075: Acc-tr:  75.84, Acc-val:  13.64, L-tr: 0.6826, L-val: 4.5397
INFO:root:076: Acc-tr:  71.12, Acc-val:  13.82, L-tr: 0.8236, L-val: 4.4779
INFO:root:077: Acc-tr:  73.54, Acc-val:  14.51, L-tr: 0.7507, L-val: 4.5508
INFO:root:078: Acc-tr:  72.55, Acc-val:  13.73, L-tr: 0.7718, L-val: 4.6220
INFO:root:079: Acc-tr:  73.37, Acc-val:  14.12, L-tr: 0.7431, L-val: 4.6014
INFO:root:080: Acc-tr:  56.60, Acc-val:  12.41, L-tr: 1.3307, L-val: 5.3790
INFO:root:081: Acc-tr:  69.55, Acc-val:  13.29, L-tr: 0.8544, L-val: 4.7037
INFO:root:082: Acc-tr:  59.02, Acc-val:  13.85, L-tr: 1.2167, L-val: 5.1830
INFO:root:083: Acc-tr:  77.08, Acc-val:  14.35, L-tr: 0.6511, L-val: 4.5544
INFO:root:084: Acc-tr:  72.63, Acc-val:  13.70, L-tr: 0.7678, L-val: 4.9444
INFO:root:085: Acc-tr:  59.47, Acc-val:  13.70, L-tr: 1.2111, L-val: 5.2607
INFO:root:086: Acc-tr:  69.74, Acc-val:  13.74, L-tr: 0.8650, L-val: 5.1760
INFO:root:087: Acc-tr:  73.21, Acc-val:  13.55, L-tr: 0.7606, L-val: 4.8253
INFO:root:088: Acc-tr:  53.64, Acc-val:  13.45, L-tr: 1.4865, L-val: 5.7844
INFO:root:089: Acc-tr:  77.15, Acc-val:  14.43, L-tr: 0.6623, L-val: 4.9116
INFO:root:090: Acc-tr:  66.42, Acc-val:  14.32, L-tr: 0.9997, L-val: 5.0439
INFO:root:091: Acc-tr:  75.09, Acc-val:  12.78, L-tr: 0.7006, L-val: 4.7416
INFO:root:092: Acc-tr:  62.58, Acc-val:  13.05, L-tr: 1.2988, L-val: 5.6643
INFO:root:093: Acc-tr:  69.67, Acc-val:  13.11, L-tr: 0.8807, L-val: 5.3548
INFO:root:094: Acc-tr:  67.18, Acc-val:  15.14, L-tr: 0.9411, L-val: 5.3668
INFO:root:095: Acc-tr:  75.01, Acc-val:  13.30, L-tr: 0.7088, L-val: 4.7491
INFO:root:096: Acc-tr:  67.33, Acc-val:  14.65, L-tr: 1.0052, L-val: 5.2941
INFO:root:097: Acc-tr:  72.70, Acc-val:  13.76, L-tr: 0.8027, L-val: 5.1730
INFO:root:098: Acc-tr:  78.54, Acc-val:  13.22, L-tr: 0.6053, L-val: 4.5244
INFO:root:099: Acc-tr:  74.87, Acc-val:  13.96, L-tr: 0.7061, L-val: 5.0438
INFO:root:100: Acc-tr:  67.27, Acc-val:  13.19, L-tr: 0.9569, L-val: 5.4666
INFO:root:101: Acc-tr:  79.22, Acc-val:  13.57, L-tr: 0.5990, L-val: 4.7977
INFO:root:102: Acc-tr:  67.39, Acc-val:  12.25, L-tr: 0.9439, L-val: 5.1441
INFO:root:103: Acc-tr:  80.18, Acc-val:  14.26, L-tr: 0.5730, L-val: 4.8899
INFO:root:104: Acc-tr:  69.48, Acc-val:  12.67, L-tr: 0.8764, L-val: 4.9737
INFO:root:105: Acc-tr:  79.13, Acc-val:  14.30, L-tr: 0.5954, L-val: 4.7132
INFO:root:106: Acc-tr:  79.04, Acc-val:  13.47, L-tr: 0.5971, L-val: 4.8629
INFO:root:107: Acc-tr:  72.72, Acc-val:  13.09, L-tr: 0.7562, L-val: 5.0275
INFO:root:108: Acc-tr:  71.76, Acc-val:  13.28, L-tr: 0.8182, L-val: 5.0916
INFO:root:109: Acc-tr:  73.28, Acc-val:  13.67, L-tr: 0.7521, L-val: 5.0783
INFO:root:110: Acc-tr:  77.13, Acc-val:  14.63, L-tr: 0.6691, L-val: 4.6885
INFO:root:111: Acc-tr:  68.52, Acc-val:  12.21, L-tr: 0.9609, L-val: 5.3549
INFO:root:112: Acc-tr:  77.19, Acc-val:  13.95, L-tr: 0.6389, L-val: 5.0294
INFO:root:113: Acc-tr:  81.26, Acc-val:  14.05, L-tr: 0.5322, L-val: 4.7400
INFO:root:114: Acc-tr:  81.00, Acc-val:  13.83, L-tr: 0.5512, L-val: 4.8247
INFO:root:115: Acc-tr:  76.69, Acc-val:  13.48, L-tr: 0.6734, L-val: 5.2740
INFO:root:116: Acc-tr:  75.84, Acc-val:  13.53, L-tr: 0.6884, L-val: 5.0217
INFO:root:117: Acc-tr:  71.12, Acc-val:  13.83, L-tr: 0.8283, L-val: 5.2980
INFO:root:118: Acc-tr:  79.73, Acc-val:  12.63, L-tr: 0.5783, L-val: 5.1007
INFO:root:119: Acc-tr:  76.47, Acc-val:  14.30, L-tr: 0.6820, L-val: 5.0855
INFO:root:120: Acc-tr:  77.13, Acc-val:  13.51, L-tr: 0.6465, L-val: 4.9523
INFO:root:121: Acc-tr:  70.04, Acc-val:  13.84, L-tr: 0.8962, L-val: 5.3910
INFO:root:122: Acc-tr:  71.06, Acc-val:  14.47, L-tr: 0.8468, L-val: 5.3172
INFO:root:123: Acc-tr:  75.98, Acc-val:  13.30, L-tr: 0.6838, L-val: 5.0136
INFO:root:124: Acc-tr:  81.48, Acc-val:  13.95, L-tr: 0.5335, L-val: 5.0089
INFO:root:125: Acc-tr:  77.69, Acc-val:  14.31, L-tr: 0.6272, L-val: 4.9667
INFO:root:126: Acc-tr:  77.60, Acc-val:  13.48, L-tr: 0.6463, L-val: 5.0357
INFO:root:127: Acc-tr:  78.87, Acc-val:  13.88, L-tr: 0.6053, L-val: 5.1499
INFO:root:128: Acc-tr:  71.13, Acc-val:  11.99, L-tr: 0.8661, L-val: 5.2858
INFO:root:129: Acc-tr:  79.32, Acc-val:  13.65, L-tr: 0.5972, L-val: 4.9530
INFO:root:130: Acc-tr:  75.55, Acc-val:  13.21, L-tr: 0.6990, L-val: 5.1868
INFO:root:131: Acc-tr:  61.12, Acc-val:  13.21, L-tr: 1.3113, L-val: 6.3255
INFO:root:132: Acc-tr:  81.24, Acc-val:  14.65, L-tr: 0.5543, L-val: 4.9164
INFO:root:133: Acc-tr:  52.40, Acc-val:  11.52, L-tr: 1.6139, L-val: 6.0722
INFO:root:134: Acc-tr:  77.35, Acc-val:  14.44, L-tr: 0.6492, L-val: 5.0021
INFO:root:135: Acc-tr:  65.04, Acc-val:  13.21, L-tr: 1.0904, L-val: 5.6879
INFO:root:136: Acc-tr:  74.07, Acc-val:  14.41, L-tr: 0.7583, L-val: 5.6474
INFO:root:137: Acc-tr:  75.19, Acc-val:  13.48, L-tr: 0.7444, L-val: 5.4839
INFO:root:138: Acc-tr:  83.23, Acc-val:  13.11, L-tr: 0.4792, L-val: 4.9481
INFO:root:139: Acc-tr:  77.76, Acc-val:  13.39, L-tr: 0.6376, L-val: 5.1879
INFO:root:140: Acc-tr:  79.42, Acc-val:  14.03, L-tr: 0.5834, L-val: 5.0117
INFO:root:141: Acc-tr:  75.68, Acc-val:  13.52, L-tr: 0.7580, L-val: 5.2002
INFO:root:142: Acc-tr:  74.87, Acc-val:  13.44, L-tr: 0.7084, L-val: 5.4119
INFO:root:143: Acc-tr:  80.38, Acc-val:  14.22, L-tr: 0.5595, L-val: 5.1394
INFO:root:144: Acc-tr:  72.87, Acc-val:  13.38, L-tr: 0.8156, L-val: 5.5241
INFO:root:145: Acc-tr:  70.24, Acc-val:  13.77, L-tr: 0.8867, L-val: 5.3985
INFO:root:146: Acc-tr:  81.05, Acc-val:  13.10, L-tr: 0.5545, L-val: 4.9257
INFO:root:147: Acc-tr:  66.36, Acc-val:  12.97, L-tr: 1.0149, L-val: 5.4676
INFO:root:148: Acc-tr:  73.17, Acc-val:  13.59, L-tr: 0.7749, L-val: 5.5354
INFO:root:149: Acc-tr:  76.49, Acc-val:  14.39, L-tr: 0.6804, L-val: 5.1386
INFO:root:150: Acc-tr:  99.03, Acc-val:  14.14, L-tr: 0.0768, L-val: 5.2606
INFO:root:151: Acc-tr:  99.91, Acc-val:  14.10, L-tr: 0.0347, L-val: 5.7516
INFO:root:152: Acc-tr:  99.99, Acc-val:  14.09, L-tr: 0.0194, L-val: 6.1425
INFO:root:153: Acc-tr: 100.00, Acc-val:  14.23, L-tr: 0.0133, L-val: 6.3772
INFO:root:154: Acc-tr: 100.00, Acc-val:  14.14, L-tr: 0.0098, L-val: 6.5978
INFO:root:155: Acc-tr: 100.00, Acc-val:  13.98, L-tr: 0.0076, L-val: 6.7919
INFO:root:156: Acc-tr: 100.00, Acc-val:  14.01, L-tr: 0.0063, L-val: 6.8929
INFO:root:157: Acc-tr: 100.00, Acc-val:  14.10, L-tr: 0.0054, L-val: 6.9965
INFO:root:158: Acc-tr: 100.00, Acc-val:  14.02, L-tr: 0.0047, L-val: 7.1173
INFO:root:159: Acc-tr: 100.00, Acc-val:  14.00, L-tr: 0.0040, L-val: 7.1839
INFO:root:160: Acc-tr: 100.00, Acc-val:  14.00, L-tr: 0.0035, L-val: 7.2594
INFO:root:161: Acc-tr: 100.00, Acc-val:  13.89, L-tr: 0.0033, L-val: 7.2977
INFO:root:162: Acc-tr: 100.00, Acc-val:  14.02, L-tr: 0.0030, L-val: 7.3638
INFO:root:163: Acc-tr: 100.00, Acc-val:  14.04, L-tr: 0.0027, L-val: 7.4125
INFO:root:164: Acc-tr: 100.00, Acc-val:  13.82, L-tr: 0.0025, L-val: 7.4680
INFO:root:165: Acc-tr: 100.00, Acc-val:  13.84, L-tr: 0.0023, L-val: 7.5169
INFO:root:166: Acc-tr: 100.00, Acc-val:  13.82, L-tr: 0.0022, L-val: 7.5178
INFO:root:167: Acc-tr: 100.00, Acc-val:  13.99, L-tr: 0.0021, L-val: 7.5616
INFO:root:168: Acc-tr: 100.00, Acc-val:  13.89, L-tr: 0.0021, L-val: 7.5520
INFO:root:169: Acc-tr: 100.00, Acc-val:  13.79, L-tr: 0.0019, L-val: 7.5737
INFO:root:170: Acc-tr: 100.00, Acc-val:  13.91, L-tr: 0.0019, L-val: 7.6236
INFO:root:171: Acc-tr: 100.00, Acc-val:  13.90, L-tr: 0.0017, L-val: 7.6107
INFO:root:172: Acc-tr: 100.00, Acc-val:  13.97, L-tr: 0.0017, L-val: 7.5939
INFO:root:173: Acc-tr: 100.00, Acc-val:  14.00, L-tr: 0.0017, L-val: 7.6135
INFO:root:174: Acc-tr: 100.00, Acc-val:  13.91, L-tr: 0.0015, L-val: 7.6759
INFO:root:175: Acc-tr: 100.00, Acc-val:  13.94, L-tr: 0.0015, L-val: 7.6761
INFO:root:176: Acc-tr: 100.00, Acc-val:  13.81, L-tr: 0.0015, L-val: 7.6581
INFO:root:177: Acc-tr: 100.00, Acc-val:  13.97, L-tr: 0.0014, L-val: 7.6643
INFO:root:178: Acc-tr: 100.00, Acc-val:  13.95, L-tr: 0.0014, L-val: 7.6755
INFO:root:179: Acc-tr: 100.00, Acc-val:  13.88, L-tr: 0.0014, L-val: 7.6753
INFO:root:180: Acc-tr: 100.00, Acc-val:  14.01, L-tr: 0.0013, L-val: 7.6744
INFO:root:181: Acc-tr: 100.00, Acc-val:  13.93, L-tr: 0.0013, L-val: 7.6736
INFO:root:182: Acc-tr: 100.00, Acc-val:  13.99, L-tr: 0.0013, L-val: 7.6707
INFO:root:183: Acc-tr: 100.00, Acc-val:  14.01, L-tr: 0.0013, L-val: 7.6944
INFO:root:184: Acc-tr: 100.00, Acc-val:  13.94, L-tr: 0.0012, L-val: 7.6846
INFO:root:185: Acc-tr: 100.00, Acc-val:  13.78, L-tr: 0.0012, L-val: 7.6831
INFO:root:186: Acc-tr: 100.00, Acc-val:  13.85, L-tr: 0.0012, L-val: 7.6592
INFO:root:187: Acc-tr: 100.00, Acc-val:  13.84, L-tr: 0.0012, L-val: 7.6645
INFO:root:188: Acc-tr: 100.00, Acc-val:  13.89, L-tr: 0.0012, L-val: 7.6927
INFO:root:189: Acc-tr: 100.00, Acc-val:  13.88, L-tr: 0.0011, L-val: 7.6584
INFO:root:190: Acc-tr: 100.00, Acc-val:  13.91, L-tr: 0.0011, L-val: 7.6712
INFO:root:191: Acc-tr: 100.00, Acc-val:  13.92, L-tr: 0.0011, L-val: 7.6328
INFO:root:192: Acc-tr: 100.00, Acc-val:  13.97, L-tr: 0.0011, L-val: 7.6518
INFO:root:193: Acc-tr: 100.00, Acc-val:  13.86, L-tr: 0.0012, L-val: 7.6280
INFO:root:194: Acc-tr: 100.00, Acc-val:  13.93, L-tr: 0.0011, L-val: 7.6421
INFO:root:195: Acc-tr: 100.00, Acc-val:  13.93, L-tr: 0.0011, L-val: 7.6558
INFO:root:196: Acc-tr: 100.00, Acc-val:  13.83, L-tr: 0.0011, L-val: 7.6625
INFO:root:197: Acc-tr: 100.00, Acc-val:  13.94, L-tr: 0.0011, L-val: 7.6620
INFO:root:198: Acc-tr: 100.00, Acc-val:  13.84, L-tr: 0.0010, L-val: 7.6317
INFO:root:199: Acc-tr: 100.00, Acc-val:  13.87, L-tr: 0.0010, L-val: 7.6092
INFO:root:200: Acc-tr: 100.00, Acc-val:  13.87, L-tr: 0.0010, L-val: 7.6050
