INFO:root:Number of parameters: 369498
INFO:root:061: Acc-tr:  59.27, Acc-val:  10.48, L-tr: 1.1019, L-val: 4.4781
INFO:root:062: Acc-tr:  58.29, Acc-val:  10.52, L-tr: 1.1264, L-val: 5.3978
INFO:root:063: Acc-tr:  64.63, Acc-val:  10.69, L-tr: 0.9950, L-val: 4.1795
INFO:root:064: Acc-tr:  66.93, Acc-val:  10.52, L-tr: 0.9320, L-val: 4.2800
INFO:root:065: Acc-tr:  57.11, Acc-val:  10.14, L-tr: 1.1824, L-val: 4.4332
INFO:root:066: Acc-tr:  59.91, Acc-val:   9.76, L-tr: 1.0971, L-val: 5.0016
INFO:root:067: Acc-tr:  61.76, Acc-val:  10.09, L-tr: 1.0507, L-val: 4.9913
INFO:root:068: Acc-tr:  65.10, Acc-val:  10.69, L-tr: 0.9804, L-val: 7.5303
INFO:root:069: Acc-tr:  62.27, Acc-val:  13.41, L-tr: 1.0693, L-val: 3.4459
INFO:root:070: Acc-tr:  59.94, Acc-val:  11.42, L-tr: 1.1188, L-val: 4.2796
INFO:root:071: Acc-tr:  64.04, Acc-val:  13.67, L-tr: 1.0072, L-val: 4.0428
INFO:root:072: Acc-tr:  66.73, Acc-val:  10.72, L-tr: 0.9145, L-val: 3.4771
INFO:root:073: Acc-tr:  54.58, Acc-val:  10.28, L-tr: 1.2754, L-val: 6.7465
INFO:root:074: Acc-tr:  55.39, Acc-val:  10.84, L-tr: 1.2172, L-val: 4.2175
INFO:root:075: Acc-tr:  65.68, Acc-val:   9.61, L-tr: 0.9630, L-val: 4.9818
INFO:root:076: Acc-tr:  60.11, Acc-val:   9.93, L-tr: 1.1448, L-val: 3.9780
INFO:root:077: Acc-tr:  64.67, Acc-val:  10.27, L-tr: 0.9782, L-val: 4.0755
INFO:root:078: Acc-tr:  69.81, Acc-val:  10.81, L-tr: 0.8496, L-val: 5.0220
INFO:root:079: Acc-tr:  53.34, Acc-val:  10.71, L-tr: 1.3860, L-val: 3.7228
INFO:root:080: Acc-tr:  72.50, Acc-val:   9.80, L-tr: 0.7891, L-val: 4.4818
INFO:root:081: Acc-tr:  64.99, Acc-val:   9.54, L-tr: 0.9713, L-val: 5.4927
INFO:root:082: Acc-tr:  62.99, Acc-val:  11.49, L-tr: 1.0612, L-val: 3.3675
INFO:root:083: Acc-tr:  68.89, Acc-val:   9.41, L-tr: 0.8615, L-val: 6.2887
INFO:root:084: Acc-tr:  69.84, Acc-val:  11.12, L-tr: 0.8405, L-val: 4.1709
INFO:root:085: Acc-tr:  71.15, Acc-val:  10.81, L-tr: 0.8255, L-val: 4.9784
INFO:root:086: Acc-tr:  66.78, Acc-val:   9.52, L-tr: 0.9296, L-val: 6.2531
INFO:root:087: Acc-tr:  69.03, Acc-val:   8.94, L-tr: 0.8675, L-val: 5.0267
INFO:root:088: Acc-tr:  55.22, Acc-val:  10.06, L-tr: 1.3433, L-val: 4.8207
INFO:root:089: Acc-tr:  71.20, Acc-val:  10.79, L-tr: 0.8134, L-val: 4.2349
INFO:root:090: Acc-tr:  71.25, Acc-val:  10.16, L-tr: 0.8035, L-val: 8.9255
INFO:root:091: Acc-tr:  73.27, Acc-val:   9.62, L-tr: 0.7531, L-val: 6.1974
INFO:root:092: Acc-tr:  68.90, Acc-val:  10.20, L-tr: 0.8861, L-val: 4.0134
INFO:root:093: Acc-tr:  69.21, Acc-val:  11.02, L-tr: 0.8497, L-val: 5.3684
INFO:root:094: Acc-tr:  73.39, Acc-val:  10.72, L-tr: 0.7589, L-val: 4.2387
INFO:root:095: Acc-tr:  69.58, Acc-val:  10.16, L-tr: 0.8569, L-val: 4.8164
INFO:root:096: Acc-tr:  66.18, Acc-val:  11.11, L-tr: 0.9611, L-val: 4.1269
INFO:root:097: Acc-tr:  73.68, Acc-val:  10.16, L-tr: 0.7468, L-val: 4.3897
INFO:root:098: Acc-tr:  72.83, Acc-val:   9.24, L-tr: 0.7913, L-val: 4.4401
INFO:root:099: Acc-tr:  67.23, Acc-val:  12.18, L-tr: 0.9346, L-val: 3.8047
INFO:root:100: Acc-tr:  64.00, Acc-val:  10.48, L-tr: 1.0803, L-val: 4.8761
INFO:root:101: Acc-tr:  67.51, Acc-val:  11.94, L-tr: 0.9337, L-val: 3.9823
INFO:root:102: Acc-tr:  73.70, Acc-val:   9.65, L-tr: 0.7297, L-val: 5.8024
INFO:root:103: Acc-tr:  77.51, Acc-val:  10.72, L-tr: 0.6554, L-val: 4.4917
INFO:root:104: Acc-tr:  74.04, Acc-val:   9.77, L-tr: 0.7452, L-val: 5.4363
INFO:root:105: Acc-tr:  74.72, Acc-val:  10.40, L-tr: 0.7088, L-val: 4.6511
INFO:root:106: Acc-tr:  74.35, Acc-val:  10.60, L-tr: 0.7232, L-val: 4.8732
INFO:root:107: Acc-tr:  68.15, Acc-val:   9.00, L-tr: 0.9057, L-val: 5.9515
INFO:root:108: Acc-tr:  64.76, Acc-val:  10.19, L-tr: 1.0271, L-val: 4.0479
INFO:root:109: Acc-tr:  66.41, Acc-val:  10.59, L-tr: 0.9500, L-val: 5.6304
INFO:root:110: Acc-tr:  71.49, Acc-val:   8.78, L-tr: 0.8080, L-val: 5.2223
INFO:root:111: Acc-tr:  72.64, Acc-val:   9.62, L-tr: 0.7655, L-val: 3.9387
INFO:root:112: Acc-tr:  67.54, Acc-val:  10.18, L-tr: 0.9642, L-val: 4.3971
INFO:root:113: Acc-tr:  72.47, Acc-val:  10.19, L-tr: 0.7951, L-val: 4.9901
INFO:root:114: Acc-tr:  74.87, Acc-val:   9.93, L-tr: 0.7242, L-val: 6.0526
INFO:root:115: Acc-tr:  66.24, Acc-val:   9.37, L-tr: 0.9513, L-val: 5.0075
INFO:root:116: Acc-tr:  76.10, Acc-val:  10.25, L-tr: 0.6810, L-val: 4.7369
INFO:root:117: Acc-tr:  72.42, Acc-val:  10.68, L-tr: 0.7907, L-val: 4.1495
INFO:root:118: Acc-tr:  64.69, Acc-val:  11.12, L-tr: 1.0571, L-val: 4.2001
INFO:root:119: Acc-tr:  68.30, Acc-val:  10.54, L-tr: 0.9691, L-val: 4.2808
INFO:root:120: Acc-tr:  67.99, Acc-val:  10.67, L-tr: 0.9213, L-val: 5.3521
INFO:root:121: Acc-tr:  65.82, Acc-val:  10.01, L-tr: 0.9929, L-val: 5.6718
INFO:root:122: Acc-tr:  67.19, Acc-val:  10.14, L-tr: 0.9381, L-val: 4.5294
INFO:root:123: Acc-tr:  75.42, Acc-val:   9.75, L-tr: 0.6968, L-val: 4.1470
INFO:root:124: Acc-tr:  66.90, Acc-val:  10.79, L-tr: 0.9625, L-val: 5.4057
INFO:root:125: Acc-tr:  71.78, Acc-val:   9.16, L-tr: 0.8419, L-val: 4.6226
INFO:root:126: Acc-tr:  71.04, Acc-val:   9.78, L-tr: 0.8451, L-val: 4.3317
INFO:root:127: Acc-tr:  69.21, Acc-val:   9.36, L-tr: 0.9071, L-val: 5.6979
INFO:root:128: Acc-tr:  77.45, Acc-val:   9.09, L-tr: 0.6368, L-val: 4.3732
INFO:root:129: Acc-tr:  74.68, Acc-val:   8.94, L-tr: 0.7090, L-val: 4.9531
INFO:root:130: Acc-tr:  79.70, Acc-val:   9.74, L-tr: 0.5818, L-val: 3.7869
INFO:root:131: Acc-tr:  69.85, Acc-val:   9.14, L-tr: 0.8514, L-val: 4.7881
INFO:root:132: Acc-tr:  70.80, Acc-val:  10.16, L-tr: 0.8362, L-val: 4.1640
INFO:root:133: Acc-tr:  72.70, Acc-val:   9.70, L-tr: 0.7821, L-val: 4.1129
INFO:root:134: Acc-tr:  66.35, Acc-val:  10.15, L-tr: 1.0211, L-val: 5.0102
INFO:root:135: Acc-tr:  68.12, Acc-val:  10.01, L-tr: 0.9658, L-val: 6.8704
INFO:root:136: Acc-tr:  67.37, Acc-val:  10.09, L-tr: 0.9478, L-val: 5.7620
INFO:root:137: Acc-tr:  61.53, Acc-val:   8.88, L-tr: 1.2027, L-val: 7.1192
INFO:root:138: Acc-tr:  77.30, Acc-val:   9.30, L-tr: 0.6467, L-val: 4.5071
INFO:root:139: Acc-tr:  80.50, Acc-val:  10.05, L-tr: 0.5554, L-val: 4.9657
INFO:root:140: Acc-tr:  78.82, Acc-val:   9.86, L-tr: 0.5981, L-val: 6.2698
INFO:root:141: Acc-tr:  68.04, Acc-val:   9.87, L-tr: 0.9035, L-val: 4.3526
INFO:root:142: Acc-tr:  77.88, Acc-val:  11.05, L-tr: 0.6296, L-val: 4.2781
INFO:root:143: Acc-tr:  76.01, Acc-val:  10.81, L-tr: 0.6947, L-val: 4.1455
INFO:root:144: Acc-tr:  74.34, Acc-val:   9.40, L-tr: 0.7412, L-val: 4.9092
INFO:root:145: Acc-tr:  72.34, Acc-val:  11.25, L-tr: 0.8221, L-val: 4.8739
INFO:root:146: Acc-tr:  81.62, Acc-val:   9.43, L-tr: 0.5239, L-val: 9.2035
INFO:root:147: Acc-tr:  72.71, Acc-val:  10.32, L-tr: 0.7785, L-val: 5.1601
INFO:root:148: Acc-tr:  75.58, Acc-val:   8.84, L-tr: 0.6905, L-val: 6.7103
INFO:root:149: Acc-tr:  72.73, Acc-val:   9.84, L-tr: 0.7929, L-val: 6.3603
INFO:root:150: Acc-tr:  98.59, Acc-val:  10.13, L-tr: 0.0951, L-val: 6.0375
INFO:root:151: Acc-tr:  99.80, Acc-val:  10.16, L-tr: 0.0402, L-val: 7.0463
INFO:root:152: Acc-tr:  99.96, Acc-val:   9.93, L-tr: 0.0222, L-val: 7.9903
INFO:root:153: Acc-tr:  99.99, Acc-val:   9.87, L-tr: 0.0142, L-val: 8.1555
INFO:root:154: Acc-tr:  99.99, Acc-val:   9.93, L-tr: 0.0100, L-val: 8.7802
INFO:root:155: Acc-tr: 100.00, Acc-val:  10.13, L-tr: 0.0076, L-val: 9.3365
INFO:root:156: Acc-tr: 100.00, Acc-val:   9.79, L-tr: 0.0063, L-val: 9.3814
INFO:root:157: Acc-tr: 100.00, Acc-val:   9.96, L-tr: 0.0051, L-val: 9.4981
INFO:root:158: Acc-tr: 100.00, Acc-val:  10.06, L-tr: 0.0043, L-val: 9.8010
INFO:root:159: Acc-tr: 100.00, Acc-val:   9.95, L-tr: 0.0037, L-val: 10.0305
INFO:root:160: Acc-tr: 100.00, Acc-val:   9.95, L-tr: 0.0033, L-val: 10.2104
INFO:root:161: Acc-tr: 100.00, Acc-val:  10.03, L-tr: 0.0029, L-val: 10.5095
INFO:root:162: Acc-tr: 100.00, Acc-val:  10.06, L-tr: 0.0026, L-val: 10.6490
INFO:root:163: Acc-tr: 100.00, Acc-val:  10.05, L-tr: 0.0024, L-val: 10.8581
INFO:root:164: Acc-tr: 100.00, Acc-val:   9.93, L-tr: 0.0023, L-val: 10.8988
INFO:root:165: Acc-tr: 100.00, Acc-val:  10.05, L-tr: 0.0021, L-val: 11.0286
INFO:root:166: Acc-tr: 100.00, Acc-val:   9.88, L-tr: 0.0019, L-val: 11.1787
INFO:root:167: Acc-tr: 100.00, Acc-val:   9.93, L-tr: 0.0018, L-val: 11.2081
INFO:root:168: Acc-tr: 100.00, Acc-val:   9.98, L-tr: 0.0017, L-val: 11.3061
INFO:root:169: Acc-tr: 100.00, Acc-val:   9.97, L-tr: 0.0016, L-val: 11.4412
INFO:root:170: Acc-tr: 100.00, Acc-val:   9.98, L-tr: 0.0015, L-val: 11.3546
INFO:root:171: Acc-tr: 100.00, Acc-val:   9.95, L-tr: 0.0014, L-val: 11.5367
INFO:root:172: Acc-tr: 100.00, Acc-val:   9.86, L-tr: 0.0014, L-val: 11.4971
INFO:root:173: Acc-tr: 100.00, Acc-val:  10.04, L-tr: 0.0013, L-val: 11.7038
INFO:root:174: Acc-tr: 100.00, Acc-val:   9.93, L-tr: 0.0013, L-val: 11.6227
INFO:root:175: Acc-tr: 100.00, Acc-val:   9.86, L-tr: 0.0013, L-val: 11.6250
INFO:root:176: Acc-tr: 100.00, Acc-val:   9.97, L-tr: 0.0013, L-val: 11.7471
INFO:root:177: Acc-tr: 100.00, Acc-val:   9.93, L-tr: 0.0012, L-val: 11.5063
INFO:root:178: Acc-tr: 100.00, Acc-val:   9.88, L-tr: 0.0012, L-val: 11.7164
INFO:root:179: Acc-tr: 100.00, Acc-val:   9.88, L-tr: 0.0012, L-val: 11.6721
INFO:root:180: Acc-tr: 100.00, Acc-val:   9.92, L-tr: 0.0011, L-val: 11.7577
INFO:root:181: Acc-tr: 100.00, Acc-val:   9.95, L-tr: 0.0010, L-val: 11.7434
INFO:root:182: Acc-tr: 100.00, Acc-val:   9.84, L-tr: 0.0010, L-val: 11.6705
INFO:root:183: Acc-tr: 100.00, Acc-val:   9.94, L-tr: 0.0010, L-val: 11.8589
INFO:root:184: Acc-tr: 100.00, Acc-val:   9.92, L-tr: 0.0010, L-val: 11.8395
INFO:root:185: Acc-tr: 100.00, Acc-val:   9.83, L-tr: 0.0010, L-val: 11.7781
INFO:root:186: Acc-tr: 100.00, Acc-val:  10.05, L-tr: 0.0009, L-val: 11.9876
INFO:root:187: Acc-tr: 100.00, Acc-val:   9.85, L-tr: 0.0010, L-val: 12.0229
INFO:root:188: Acc-tr: 100.00, Acc-val:   9.92, L-tr: 0.0009, L-val: 12.0018
INFO:root:189: Acc-tr: 100.00, Acc-val:   9.91, L-tr: 0.0009, L-val: 11.8891
INFO:root:190: Acc-tr: 100.00, Acc-val:   9.97, L-tr: 0.0009, L-val: 11.8566
INFO:root:191: Acc-tr: 100.00, Acc-val:   9.85, L-tr: 0.0009, L-val: 11.8157
INFO:root:192: Acc-tr: 100.00, Acc-val:   9.85, L-tr: 0.0009, L-val: 11.8596
INFO:root:193: Acc-tr: 100.00, Acc-val:   9.77, L-tr: 0.0009, L-val: 11.8108
INFO:root:194: Acc-tr: 100.00, Acc-val:   9.83, L-tr: 0.0009, L-val: 11.8716
INFO:root:195: Acc-tr: 100.00, Acc-val:   9.92, L-tr: 0.0008, L-val: 12.0830
INFO:root:196: Acc-tr: 100.00, Acc-val:   9.83, L-tr: 0.0009, L-val: 12.1138
INFO:root:197: Acc-tr: 100.00, Acc-val:   9.84, L-tr: 0.0009, L-val: 11.5800
INFO:root:198: Acc-tr: 100.00, Acc-val:   9.87, L-tr: 0.0008, L-val: 11.8356
INFO:root:199: Acc-tr: 100.00, Acc-val:   9.87, L-tr: 0.0009, L-val: 11.6956
INFO:root:200: Acc-tr: 100.00, Acc-val:   9.93, L-tr: 0.0008, L-val: 11.9023
INFO:root:201: Acc-tr: 100.00, Acc-val:   9.86, L-tr: 0.0008, L-val: 11.9259
INFO:root:202: Acc-tr: 100.00, Acc-val:   9.94, L-tr: 0.0008, L-val: 11.8114
INFO:root:203: Acc-tr: 100.00, Acc-val:   9.95, L-tr: 0.0008, L-val: 11.7413
INFO:root:204: Acc-tr: 100.00, Acc-val:   9.87, L-tr: 0.0008, L-val: 11.8955
INFO:root:205: Acc-tr: 100.00, Acc-val:   9.69, L-tr: 0.0007, L-val: 11.9483
INFO:root:206: Acc-tr: 100.00, Acc-val:   9.86, L-tr: 0.0008, L-val: 11.8866
INFO:root:207: Acc-tr: 100.00, Acc-val:   9.81, L-tr: 0.0008, L-val: 11.7616
INFO:root:208: Acc-tr: 100.00, Acc-val:   9.84, L-tr: 0.0008, L-val: 11.7990
INFO:root:209: Acc-tr: 100.00, Acc-val:   9.87, L-tr: 0.0008, L-val: 11.7381
INFO:root:210: Acc-tr: 100.00, Acc-val:   9.84, L-tr: 0.0008, L-val: 11.7066
INFO:root:211: Acc-tr: 100.00, Acc-val:   9.81, L-tr: 0.0008, L-val: 11.8063
INFO:root:212: Acc-tr: 100.00, Acc-val:   9.87, L-tr: 0.0007, L-val: 11.8924
INFO:root:213: Acc-tr: 100.00, Acc-val:   9.83, L-tr: 0.0008, L-val: 11.8192
INFO:root:214: Acc-tr: 100.00, Acc-val:   9.90, L-tr: 0.0007, L-val: 11.6817
INFO:root:215: Acc-tr: 100.00, Acc-val:   9.81, L-tr: 0.0008, L-val: 11.9273
INFO:root:216: Acc-tr: 100.00, Acc-val:   9.83, L-tr: 0.0007, L-val: 11.9057
INFO:root:217: Acc-tr: 100.00, Acc-val:   9.85, L-tr: 0.0007, L-val: 11.7505
INFO:root:218: Acc-tr: 100.00, Acc-val:   9.87, L-tr: 0.0007, L-val: 11.8089
INFO:root:219: Acc-tr: 100.00, Acc-val:   9.81, L-tr: 0.0007, L-val: 11.8081
INFO:root:220: Acc-tr: 100.00, Acc-val:   9.76, L-tr: 0.0007, L-val: 11.9413
INFO:root:221: Acc-tr: 100.00, Acc-val:   9.88, L-tr: 0.0007, L-val: 11.7123
INFO:root:222: Acc-tr: 100.00, Acc-val:   9.75, L-tr: 0.0007, L-val: 11.7088
INFO:root:223: Acc-tr: 100.00, Acc-val:   9.85, L-tr: 0.0007, L-val: 11.7823
INFO:root:224: Acc-tr: 100.00, Acc-val:   9.86, L-tr: 0.0007, L-val: 11.9592
INFO:root:225: Acc-tr: 100.00, Acc-val:   9.90, L-tr: 0.0007, L-val: 11.7753
INFO:root:226: Acc-tr: 100.00, Acc-val:   9.85, L-tr: 0.0007, L-val: 11.5589
INFO:root:227: Acc-tr: 100.00, Acc-val:   9.85, L-tr: 0.0007, L-val: 11.5390
INFO:root:228: Acc-tr: 100.00, Acc-val:   9.82, L-tr: 0.0007, L-val: 11.7767
INFO:root:229: Acc-tr: 100.00, Acc-val:   9.86, L-tr: 0.0007, L-val: 11.7927
INFO:root:230: Acc-tr: 100.00, Acc-val:  10.01, L-tr: 0.0007, L-val: 11.7786
INFO:root:231: Acc-tr: 100.00, Acc-val:   9.87, L-tr: 0.0007, L-val: 11.8537
INFO:root:232: Acc-tr: 100.00, Acc-val:   9.87, L-tr: 0.0007, L-val: 11.8327
