INFO:root:Number of parameters: 369498
INFO:root:061: Acc-tr:  87.69, Acc-val:  13.51, L-tr: 0.3435, L-val: 5.2044
INFO:root:062: Acc-tr:  82.38, Acc-val:  12.56, L-tr: 0.5037, L-val: 6.2035
INFO:root:063: Acc-tr:  88.24, Acc-val:  13.20, L-tr: 0.3251, L-val: 5.8344
INFO:root:064: Acc-tr:  86.57, Acc-val:  13.55, L-tr: 0.3751, L-val: 5.2040
INFO:root:065: Acc-tr:  85.80, Acc-val:  12.74, L-tr: 0.3998, L-val: 6.6532
INFO:root:066: Acc-tr:  87.20, Acc-val:  14.56, L-tr: 0.3590, L-val: 5.8901
INFO:root:067: Acc-tr:  77.90, Acc-val:  12.47, L-tr: 0.7270, L-val: 6.7343
INFO:root:068: Acc-tr:  77.71, Acc-val:  12.02, L-tr: 0.6690, L-val: 5.7880
INFO:root:069: Acc-tr:  82.81, Acc-val:  12.95, L-tr: 0.4866, L-val: 5.8188
INFO:root:070: Acc-tr:  85.71, Acc-val:  13.94, L-tr: 0.3938, L-val: 5.2732
INFO:root:071: Acc-tr:  71.07, Acc-val:  12.25, L-tr: 0.9712, L-val: 7.4382
INFO:root:072: Acc-tr:  81.63, Acc-val:  13.24, L-tr: 0.5318, L-val: 6.2018
INFO:root:073: Acc-tr:  80.97, Acc-val:  13.93, L-tr: 0.5225, L-val: 5.2947
INFO:root:074: Acc-tr:  88.48, Acc-val:  13.28, L-tr: 0.3222, L-val: 5.6870
INFO:root:075: Acc-tr:  86.25, Acc-val:  12.50, L-tr: 0.3869, L-val: 5.5456
INFO:root:076: Acc-tr:  80.56, Acc-val:  12.62, L-tr: 0.5833, L-val: 6.3675
INFO:root:077: Acc-tr:  76.33, Acc-val:  12.96, L-tr: 0.7356, L-val: 6.5612
INFO:root:078: Acc-tr:  79.31, Acc-val:  11.94, L-tr: 0.6043, L-val: 6.4915
INFO:root:079: Acc-tr:  85.39, Acc-val:  12.55, L-tr: 0.4108, L-val: 6.3712
INFO:root:080: Acc-tr:  87.72, Acc-val:  12.90, L-tr: 0.3409, L-val: 6.2282
INFO:root:081: Acc-tr:  84.37, Acc-val:  11.96, L-tr: 0.4354, L-val: 5.4882
INFO:root:082: Acc-tr:  80.87, Acc-val:  12.60, L-tr: 0.5454, L-val: 5.8768
INFO:root:083: Acc-tr:  87.82, Acc-val:  13.21, L-tr: 0.3428, L-val: 5.2755
INFO:root:084: Acc-tr:  85.59, Acc-val:  13.91, L-tr: 0.4035, L-val: 5.9812
INFO:root:085: Acc-tr:  77.09, Acc-val:  11.86, L-tr: 0.7217, L-val: 6.1798
INFO:root:086: Acc-tr:  87.58, Acc-val:  12.98, L-tr: 0.3518, L-val: 5.9897
INFO:root:087: Acc-tr:  84.07, Acc-val:  14.04, L-tr: 0.4665, L-val: 6.3934
INFO:root:088: Acc-tr:  87.32, Acc-val:  14.17, L-tr: 0.3559, L-val: 5.5052
INFO:root:089: Acc-tr:  81.74, Acc-val:  13.08, L-tr: 0.5383, L-val: 6.0343
INFO:root:090: Acc-tr:  74.51, Acc-val:  12.85, L-tr: 0.8216, L-val: 6.8455
INFO:root:091: Acc-tr:  90.13, Acc-val:  13.46, L-tr: 0.2756, L-val: 5.4376
INFO:root:092: Acc-tr:  82.67, Acc-val:  14.13, L-tr: 0.5006, L-val: 5.8671
