INFO:root:Number of parameters: 369498
INFO:root:061: Acc-tr:  92.10, Acc-val:  83.04, L-tr: 0.2262, L-val: 0.5233
INFO:root:062: Acc-tr:  92.24, Acc-val:  83.27, L-tr: 0.2232, L-val: 0.5139
INFO:root:063: Acc-tr:  91.31, Acc-val:  82.90, L-tr: 0.2484, L-val: 0.5356
INFO:root:064: Acc-tr:  87.12, Acc-val:  78.71, L-tr: 0.3759, L-val: 0.6903
INFO:root:065: Acc-tr:  91.24, Acc-val:  82.57, L-tr: 0.2514, L-val: 0.5245
INFO:root:066: Acc-tr:  92.18, Acc-val:  83.77, L-tr: 0.2249, L-val: 0.5097
INFO:root:067: Acc-tr:  90.66, Acc-val:  82.14, L-tr: 0.2700, L-val: 0.5636
INFO:root:068: Acc-tr:  92.65, Acc-val:  84.22, L-tr: 0.2163, L-val: 0.4959
INFO:root:069: Acc-tr:  92.08, Acc-val:  83.61, L-tr: 0.2237, L-val: 0.5361
INFO:root:070: Acc-tr:  92.16, Acc-val:  83.12, L-tr: 0.2279, L-val: 0.5194
INFO:root:071: Acc-tr:  91.79, Acc-val:  83.29, L-tr: 0.2321, L-val: 0.5337
INFO:root:072: Acc-tr:  90.30, Acc-val:  82.14, L-tr: 0.2804, L-val: 0.5745
INFO:root:073: Acc-tr:  91.20, Acc-val:  82.55, L-tr: 0.2565, L-val: 0.5456
INFO:root:074: Acc-tr:  92.50, Acc-val:  83.63, L-tr: 0.2201, L-val: 0.5184
INFO:root:075: Acc-tr:  92.72, Acc-val:  83.92, L-tr: 0.2111, L-val: 0.4989
INFO:root:076: Acc-tr:  90.55, Acc-val:  82.14, L-tr: 0.2605, L-val: 0.5436
INFO:root:077: Acc-tr:  90.73, Acc-val:  82.65, L-tr: 0.2655, L-val: 0.5686
INFO:root:078: Acc-tr:  93.31, Acc-val:  84.36, L-tr: 0.2060, L-val: 0.4782
INFO:root:079: Acc-tr:  89.67, Acc-val:  81.07, L-tr: 0.2976, L-val: 0.6145
INFO:root:080: Acc-tr:  91.38, Acc-val:  82.42, L-tr: 0.2377, L-val: 0.5483
INFO:root:081: Acc-tr:  92.90, Acc-val:  83.88, L-tr: 0.2094, L-val: 0.5081
INFO:root:082: Acc-tr:  93.35, Acc-val:  84.32, L-tr: 0.1949, L-val: 0.4962
INFO:root:083: Acc-tr:  91.01, Acc-val:  82.15, L-tr: 0.2619, L-val: 0.5916
INFO:root:084: Acc-tr:  91.78, Acc-val:  83.25, L-tr: 0.2403, L-val: 0.5501
INFO:root:085: Acc-tr:  90.16, Acc-val:  81.36, L-tr: 0.2817, L-val: 0.5676
INFO:root:086: Acc-tr:  92.06, Acc-val:  83.02, L-tr: 0.2256, L-val: 0.5257
INFO:root:087: Acc-tr:  92.62, Acc-val:  83.47, L-tr: 0.2172, L-val: 0.5304
INFO:root:088: Acc-tr:  83.61, Acc-val:  76.66, L-tr: 0.4476, L-val: 0.7613
INFO:root:089: Acc-tr:  92.76, Acc-val:  83.95, L-tr: 0.2123, L-val: 0.4935
INFO:root:090: Acc-tr:  90.92, Acc-val:  82.24, L-tr: 0.2535, L-val: 0.5530
INFO:root:091: Acc-tr:  92.14, Acc-val:  83.07, L-tr: 0.2254, L-val: 0.5468
INFO:root:092: Acc-tr:  92.89, Acc-val:  84.19, L-tr: 0.2125, L-val: 0.4874
INFO:root:093: Acc-tr:  92.83, Acc-val:  83.74, L-tr: 0.2117, L-val: 0.5074
INFO:root:094: Acc-tr:  84.75, Acc-val:  77.52, L-tr: 0.4583, L-val: 0.7966
INFO:root:095: Acc-tr:  89.57, Acc-val:  80.79, L-tr: 0.2973, L-val: 0.6064
INFO:root:096: Acc-tr:  91.51, Acc-val:  82.47, L-tr: 0.2461, L-val: 0.5517
INFO:root:097: Acc-tr:  86.01, Acc-val:  78.25, L-tr: 0.4128, L-val: 0.7627
INFO:root:098: Acc-tr:  88.21, Acc-val:  80.39, L-tr: 0.3426, L-val: 0.6274
INFO:root:099: Acc-tr:  89.37, Acc-val:  80.71, L-tr: 0.3049, L-val: 0.6177
INFO:root:100: Acc-tr:  90.43, Acc-val:  81.79, L-tr: 0.2676, L-val: 0.5441
INFO:root:101: Acc-tr:  89.62, Acc-val:  81.01, L-tr: 0.2954, L-val: 0.6060
INFO:root:102: Acc-tr:  90.75, Acc-val:  82.00, L-tr: 0.2666, L-val: 0.5697
INFO:root:103: Acc-tr:  92.45, Acc-val:  83.71, L-tr: 0.2232, L-val: 0.5022
INFO:root:104: Acc-tr:  93.08, Acc-val:  83.80, L-tr: 0.2051, L-val: 0.4955
INFO:root:105: Acc-tr:  89.07, Acc-val:  80.41, L-tr: 0.3126, L-val: 0.6170
INFO:root:106: Acc-tr:  91.99, Acc-val:  83.10, L-tr: 0.2263, L-val: 0.5335
INFO:root:107: Acc-tr:  90.93, Acc-val:  82.54, L-tr: 0.2583, L-val: 0.5337
